"filename", "language", "Swift", "JSON", "Dart", "YAML", "C++", "Markdown", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\models\content.g.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 4, 6, 65
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\models\models.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\models\notification.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\models\notification.g.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 5, 25
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\models\user.dart", "Dart", 0, 0, 62, 0, 0, 0, 0, 0, 0, 27, 25, 114
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\models\user.g.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 5, 53
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\navigation\routes.dart", "Dart", 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 2, 231
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\navigation\routes.gr.dart", "Dart", 0, 0, 582, 0, 0, 0, 0, 0, 0, 101, 103, 786
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\repositories\analytics_repository.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\repositories\authentication_repository.dart", "Dart", 0, 0, 287, 0, 0, 0, 0, 0, 0, 55, 24, 366
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\repositories\query_repository.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 6, 53
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\repositories\user_repository.dart", "Dart", 0, 0, 369, 0, 0, 0, 0, 0, 0, 45, 50, 464
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\confirm_register\confirm_register.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\confirm_register\view\confirm_register_view.dart", "Dart", 0, 0, 105, 0, 0, 0, 0, 0, 0, 2, 6, 113
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\edit_profile\cubit\edit_profile_cubit.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 8, 47
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\edit_profile\cubit\edit_profile_state.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\edit_profile\edit_profile.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\edit_profile\view\edit_profile_view.dart", "Dart", 0, 0, 218, 0, 0, 0, 0, 0, 0, 5, 11, 234
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\bloc\explore_cubit.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 10, 60
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\bloc\explore_state.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\explore.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\explore_view.dart", "Dart", 0, 0, 310, 0, 0, 0, 0, 0, 0, 5, 15, 330
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_collections_and_asks\see_all_collections_and_asks.dart", "Dart", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 4, 92
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_collections_and_asks\sub_pages\collections_and_asks_popular.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 4, 39
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_collections_and_asks\sub_pages\collections_and_asks_recent.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 4, 39
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_content_archive\see_all_content_archive.dart", "Dart", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 4, 94
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_content_archive\sub_pages\content_archive_most_recommended.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 4, 39
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_content_archive\sub_pages\content_archive_recent.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 4, 37
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_featured_collections\see_all_featured_collections.dart", "Dart", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 4, 94
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_featured_collections\sub_pages\featured_collections_popular.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 4, 39
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_featured_collections\sub_pages\featured_collections_recently_featured.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 5, 40
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_horizontal_content_list.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_inspiring_people\see_all_inspiring_people.dart", "Dart", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 4, 93
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_inspiring_people\sub_pages\inspiring_people_community.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 4, 38
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_inspiring_people\sub_pages\inspiring_people_creators.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 4, 38
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_popular_topics.dart", "Dart", 0, 0, 57, 0, 0, 0, 0, 0, 0, 1, 5, 63
"c:\Users\doraa\Github_repos\upcarta_mobile_app\lib\routes\explore\view\see_all_horizontal_content_list\see_all_recent_asks\see_all_recent_asks.dart", "Dart", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 4, 87
